nid,modTime,queued,provisioned,BatchId,BatchPosition,BatchSize
180400940000000042283694,Sep 17 2013 11:49AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,8,1369
180400940000000042388234,Feb 20 2015  8:20AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,14,1369
180400940000000042405524,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,18,1369
180400940000000042307360,Sep 17 2013 11:49AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,9,1369
180400940000000042244076,Sep 17 2013 11:49AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,4,1369
180400940000000042395931,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,16,1369
180400940000000042368685,Feb  9 2015  9:23AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,10,1369
180400940000000042375796,Jan 21 2015  8:47PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,11,1369
180400940000000042014380,Jun 30 2013  8:40AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,3,1369
180400940000000042395342,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,15,1369
180400940000000042386065,Feb 25 2015  9:04AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,12,1369
180400940000000042387726,Feb 27 2015  8:37AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,13,1369
180400940000000042399352,Feb  8 2015  7:37PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,17,1369
180400940000000042421133,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,20,1369
180400940000000042414129,Mar  6 2015  8:13AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,19,1369
180400940000000042453907,Feb 26 2015  8:43AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,24,1369
180400940000000042441317,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,22,1369
180400940000000042427056,Mar  6 2015  8:41AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,21,1369
180400940000000042453145,Feb 20 2015  9:07AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,23,1369
180400940000000042471408,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,26,1369
180400940000000042511829,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,27,1369
180400940000000042833442,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,31,1369
180400940000000043375750,Jan 26 2006  6:16AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,33,1369
180400940000000042767475,Apr 22 2015  9:38PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,30,1369
180400940000000042470627,Sep 17 2013 11:50AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,25,1369
180400940000000042721070,Feb 24 2015  8:23AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,29,1369
180400940000000042578389,Mar 31 2014 12:13PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,28,1369
180400940000000043711909,Jan 26 2006  6:16AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,36,1369
180400940000000043423371,Jan 26 2006  6:16AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,34,1369
180400940000000043291548,Aug  3 2015 12:30PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,32,1369
180400940000000043625301,Apr 22 2015  9:38PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,35,1369
180400940000000044101446,Apr 22 2015  9:38PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,39,1369
180400940000000043980757,Jan 26 2006  6:16AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,38,1369
180400940000000044831023,Feb 24 2015  8:19AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,41,1369
180400940000000044657351,Sep 17 2013 11:52AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,40,1369
180400940000000044831263,Sep 17 2013 11:53AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,42,1369
180400940000000044864217,Feb 24 2015  8:22AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,45,1369
180400940000000044872966,Jul 11 2009  5:53AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,46,1369
180400940000000043812048,Sep 17 2013 11:52AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,37,1369
180400940000000044832154,May 28 2015  7:01PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,43,1369
180400940000000044889906,Sep 17 2013 11:53AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,47,1369
180400940000000044909240,Mar  2 2015  7:39PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,48,1369
180400940000000044846032,Feb 13 2015  8:57AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,44,1369
180400940000000044919280,Sep 17 2013 11:53AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,51,1369
180400940000000044936365,Feb 26 2015  8:05AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,52,1369
180400940000000044916576,Feb 10 2015  6:52PM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,49,1369
180400940000000044916652,Jan 26 2006  6:16AM,Mar 25 2021  3:09PM,Mar 25 2021  3:12PM,FA45A455-9FE3-4661-896F-7C5FF6EDEBB0,50,1369
